Topic,Count,Name,Representation,Representative_Docs
-1,845,-1_query_returns_list_information,"['query', 'returns', 'list', 'information', 'args', 'tool', 'content', 'use', 'database', 'search']","['get_management_api_spec: get complete supabase management api specification returns full openapi specification supabase management api including available endpoints operations required optional parameters operation request response schemas authentication requirements safety information operation tool used four different ways without parameters returns domains default', 'search_entities_tool: search entities matching query string args query search query match entity ids names attributes note support wildcards get entities leave blank use listentities tool limit maximum number results return default returns dictionary containing search results metadata count total number matching entities found results list matching entities essential information domains map domains counts light sensor examples querytemperature find temperature entities queryliving room limit10 find living room entities query limit500 list entity types', 'get_restaurant_details: get detailed information specific restaurant args restaurantid restaurant diningcode returns dictionary containing restaurant details']"
0,1974,0_search_returns_information_args,"['search', 'returns', 'information', 'args', 'specific', 'list', 'data', 'query', 'number', 'api']","['xano_update_api_security: update security settings api args instancename name xano instance xnwvv1z6dvnr workspaceid workspace provided string number apigroupid api group provided string number apiid api provided string number guid new guid api returns dictionary containing result update operation example update api security settings result await xanoupdateapisecurity xnwvv1z6dvnr guidnewapiguidvalue', 'xano_browse_table_content: browse content specific xano table args instancename name xano instance xnwvv1z6dvnr workspaceid workspace provided string number tableid table provided string number page page number default perpage number records per page default returns dictionary containing table content pagination example formats work result await xanobrowsetablecontentxnwvv1z6dvnr result await xanobrowsetablecontentxnwvv1z6dvnr page2', 'xano_get_workspace_details: get details specific xano workspace args instancename name xano instance xnwvv1z6dvnr workspaceid workspace provided string number returns dictionary containing details specified workspace example work result await xanogetworkspacedetailsxnwvv1z6dvnr result await xanogetworkspacedetailsxnwvv1z6dvnr']"
1,199,1_test_code_case_version,"['test', 'code', 'case', 'version', 'component', 'versions', 'test target', 'run', 'python', 'target']","['Update an existing test run: update existing test run args runid test run name name test run optional description description test run optional milestoneid milestone optional assignedtoid user test run assigned optional includeall true including test cases test suite false custom case selection default true optional caseids array case ids custom case selection optional', 'Add a new test run: add new test run args projectid project suiteid test suite name name test run description description test run optional milestoneid milestone optional assignedtoid user test run assigned optional includeall true including test cases test suite false custom case selection default true optional caseids array case ids custom case selection optional', 'getTestCase: gettestcase tool retrieve test case given test target test case test case unique test target test case includes set interactions assertions result discovery manual creation']"
2,198,2_note_emails_chat_email,"['note', 'emails', 'chat', 'email', 'notes', 'comments', 'messages', 'message', 'comment', 'send']","['get_email_overview: get simple overview users emails tool provides quick summary users gmail account including counts recent emails one call returns dictstr email overview including account account information counts email counts label recentemails list recent emails links unreadcount number unread emails note always include emaillink discussing specific emails user', 'send_ticket_reply: send reply ticket freshservice required ticketid int must body str message content optional fromemail str senders email userid int agent user ccemails list str list emails bccemails list str list emails bcc note attachments supported version', 'send_ticket_reply: send reply ticket freshservice required ticketid int must body str message content optional fromemail str senders email userid int agent user ccemails list str list emails bccemails list str list emails bcc note attachments supported version']"
3,197,3_repository_github_github repository_pull,"['repository', 'github', 'github repository', 'pull', 'repositories', 'branch', 'create', 'create new', 'issue', 'new']","['create_branch: create new branch github repository', 'create_branch: create new branch github repository', 'create_branch: create new branch github repository']"
4,196,4_directories_directory_files_files directories,"['directories', 'directory', 'files', 'files directories', 'allowed', 'storage', 'path', 'folder', 'allowed directories', 'piperun']","['list_directory: get detailed listing files directories specified path results distinguish files directories file dir prefixes works within allowed directories', 'list_directory: get detailed listing files directories specified path results distinguish files directories file dir prefixes works within allowed directories', 'list_directory: get detailed listing files directories specified path results distinguish files directories file dir prefixes works within allowed directories']"
5,172,5_single request_group_create_wallet,"['single request', 'group', 'create', 'wallet', 'single', 'update', 'multiple', 'request', 'send', 'transaction']","['notes_batch_create: create multiple notes single request', 'emails_batch_update: update multiple email records single request', 'emails_batch_create: create multiple email records single request']"
6,172,6_content_page_element_browser,"['content', 'page', 'element', 'browser', 'markdown', 'screenshot', 'selector', 'text', 'current page', 'html']","['playwright_screenshot: take screenshot current page specific element', 'puppeteer_screenshot: take screenshot current page specific element', 'browserbase_screenshot: take screenshot current page specific element']"
7,160,7_knowledge_graph_knowledge graph_memory,"['knowledge', 'graph', 'knowledge graph', 'memory', 'entities', 'relations', 'ingests', 'delete', 'graphlit knowledge', 'graphlit']","['create_entities: create multiple new entities memento mcp knowledge graph memory system', 'delete_relations: delete multiple relations memento mcp knowledge graph memory', 'delete_entities: delete multiple entities associated relations memento mcp knowledge graph memory']"
8,144,8_domain_route_search_places,"['domain', 'route', 'search', 'places', 'nasa', 'search console', 'site', 'coordinates', 'console', 'korea']","['list_sitemaps_enhanced: list sitemaps specific search console property detailed information args siteurl url site search console must exact match sitemapindex optional sitemap index url list child sitemaps', 'get_sitemap_details: get detailed information specific sitemap args siteurl url site search console must exact match sitemapurl full url sitemap inspect', 'get_site_details: get detailed information specific search console property args siteurl url site search console must exact match']"
